,0
0,30060773296197
1,349624180933183
2,3529023891650490
3,213142929492281
4,502067329974
5,3506661913512980
6,377549437870679
7,2321541881278150
8,6011037917693140
9,502049986008
10,6501622116456490
11,6502495513721380
12,3551071736826240
13,371493449732930
14,3536516200696080
15,5222519319551540
16,4537509987455280000
17,6011881097126120
18,4204210033998580000
19,3540126062083770
20,180093132939478
21,3579161126932720
22,4045259395988290
23,4305628477334070000
24,6011112632675670
25,370629659061970
26,3565388078802970
27,4413511328768020
28,3510326851192930
29,30439078921644
30,2296814173210180
31,2297205767081190
32,30280604114274
33,4024414397695410000
34,4529390944325970
35,60485138139
36,4243023678099
37,4976058331830470000
38,4224188732297920
39,3514396157366920
40,30158747323244
41,3590999821623690
42,60457486839
43,4934170565606
44,36125643138236
45,4499574398661660
46,30079697561056
47,3569354729407150
48,213139697145299
49,676119752563
50,4923545896758580000
51,4145489239111500
52,4131871381315060
53,4850248250585
54,676231685725
55,372498568017103
56,4108484730579010
57,676293500408
58,581681339767
59,180083117707156
60,213185617039336
61,180038452399167
62,213148437331713
63,6011852840796870
64,6011662146447830
65,375909252165187
66,30095105471035
67,3584417008059140
68,2244978562790820
69,4027528338006
70,30425667828100
71,2244479907474760
72,3570781166096810
73,2310820813218710
74,4725463191106120000
75,4319742178425770
76,4466560959453
77,30180112075555
78,3517948043479210
79,3575217498720440
80,4588947128070
81,6550095846760120
82,36021639286396
83,6506115570116190
84,346534852323501
85,4177601107944940000
86,4749402420184460
87,4838743717197410
88,3503307442630630
89,575350944766
90,4639809799549920
91,4005849178483
92,4764497710814640
93,3517287513574020
94,3507036246815300
95,347225500075101
96,3504582964063800
97,6547615342880760
98,4537616359009030000
99,2294060415437190
100,3588368762770770
101,6524192031219120
102,180041071434092
103,213159098807313
104,3511659845316830
105,30591165864887
106,3566624359220790
107,4469615060239300000
108,374589179576988
109,180080246803229
110,4145662949755970
111,4150158657691
112,3583218047699840
113,6011887212979720
114,6011592595426290
115,213164174481249
116,6521667118670950
117,2274876960738170
118,6575242255783560
119,4617848619884830000
120,4546958607493620
121,4671576682730
122,4009798496502850
123,30043592114296
124,3534672147045390
125,4466728925689730000
126,4540308816293220000
127,564128564718
128,344884797663251
129,3509093146400700
130,6011369698621020
131,4264610789837620
132,180015756135190
133,3503542374654200
134,4158723133970670
135,4338477003933360
136,564984589809
137,4350714812589620
138,6537258455501990
139,6520005527716070
140,4092454363906180
141,3555499065337720
142,213133430820417
143,30382459793101
144,60111111913046
145,675964295934
146,6580954508196020
147,379544388859480
148,639051308133
149,?4971858637664481
150,676197624627
151,30436408634905
152,30366098644395
153,4507220961742
154,30240385709155
155,4511109856138500000
156,3562364872068970
157,???3554954842403828
158,3550482967595170
159,30092025361172
160,371842803993779
161,3520167590602520
162,375231530935095
163,30022003678867
164,38586217093206
165,4156466200099530
166,2709712362628980
167,4945065482962
168,213158086066411
169,6011032421324050
170,4298024899108470000
171,4728934417568480000
172,630438408647
173,3570908580178970
174,4778760137972740000
175,675928862621
176,60473404063
177,343307985261408
178,4776353838549180
179,377784217735418
180,4639559372817520000
181,4504415059883120
182,4809527881527350
183,30032904153787
184,347336829249242
185,342967169493241
186,4219454000722
187,213104518066124
188,4622128589055
189,371936944317946
190,4791469107393050
191,675950413236
192,4679538137016
193,4693033113026
194,501881998865
195,3590545776519630
196,4612812527008
197,3550239488250870
198,630433686932
199,4990470214162050
200,2274754309791240
201,4228053675569200000
202,3599749538452090
203,4488752580176320
204,30194742669430
205,213182755398418
206,349727483353734
207,568855182685
208,6011088301581580
209,3591590986549700
210,2402304101738120
211,3505441583959840
212,6011050584614900
213,5474744710901440
214,3594682954996870
215,3544280597412630
216,4469949113559190
217,675976311992
218,180058410855191
219,676340850905
220,4220013336013850
221,639053661786
222,3564633851338810
223,630450157726
224,502078766933
225,3509486473439080
226,6523885800845220
227,213167489692350
228,4448557375867320
229,3513337758781840
230,4646309879161270000
231,6525957073234300
232,4148304313377070000
233,502055157668
234,5228477235151850
235,4756148823560380
236,4449574576369830
237,36067227237804
238,6011898044113730
239,4384368300873540
240,4460276357723210
241,6011496717327490
242,3570958544951070
243,3582338630005250
244,4918090733969250
245,372910072159254
246,4142825885052
247,4042397857729200
248,3584024672800320
249,3552396381545980
250,371057400274487
251,4399668143086
252,2430315595018000
253,502039128959
254,5250978159702590
255,4250793873225890000
256,676102529770
257,3585822148520500
258,6565149887140180
259,3531394303686360
260,4112021701754750
261,4798266457279
262,4376071018145450000
263,4807060800885450
264,3551892480176750
265,4881836651900460
266,6560322773694370
267,3509542577486750
