,card_number,expiry_date,card_provider,date_payment_confirmed,card_number_numeric
827,VAB9DSB8ZM,NWS3P2W38H,NB71VBAHJE,GTC9KBWJO9,
1443,MOZOT5Q95V,8YJ3TYH6Z5,WJVMUO4QX6,DJIXF1AFAZ,
3694,K0084A9R99,ACT9K6ECRJ,JRPRLPIBZ2,H2PCQP4W50,
4208,Y8ITI33X30,WDWMN9TU45,TS8A81WFXV,XTD27ANR5Q,
4916,RNSCD8OCIM,VNLNMWPJII,JCQMU8FN85,7VGB4DA1WI,
6653,MIK9G2EMM0,4FI5GTUVYG,5CJH7ABGDR,RLQYRRYHPU,
7332,I4PWLWSIRJ,RF1ACW165R,DE488ORDXY,T008RE1ZR6,
7493,OMZSBN2XG3,6JJKS7R0WA,OGJTXI6X1H,7FL8EU9GBF,
7818,NB8JJ05D7R,XRPE6C4GS9,1M38DYQTZV,GD9PHJXQR4,
10457,G0EF4TS8C8,5VN8HOLMVE,DLWF2HANZF,WCK463ZO1Z,
11345,Z8855EXTJX,Q7VGWP7LH9,XGZBYBYGUW,OE3KONN2V6,
11465,JQTLQAAQTD,ZBGGFGY4H0,UA07L7EILH,T995FX2C7W,
11499,T23BTBBJDD,UMR9FIE22M,BU9U947ZGV,EVVMMB3QYV,
14884,LSWT9DT4G4,2ANT8LW3I5,5MFWFBZRM9,UZGSD0AEBT,
